Region,Province,Municipality/City,Poverty Incidence,Standard Error (SE),Coefficient of Variation (CV)
Region VII,Bohol,Sikatuna,45.9,4.7,10.3
Region VII,Bohol,Tagbilaran City,11.0,2.2,19.5
Region VII,Bohol,Talibon,51.4,3.2,6.2
Region VII,Bohol,Trinidad,56.6,3.8,6.7
Region VII,Bohol,Tubigon,37.4,2.5,6.8
Region VII,Bohol,Ubay,50.1,2.9,5.8
Region VII,Bohol,Valencia,50.4,2.9,5.7
Region VII,Bohol,Bien Unido,63.7,4.0,6.2
Region VII,Cebu,Alcantara,51.2,4.5,8.8
Region VII,Cebu,Alcoy,47.1,5.2,10.9
Region VII,Cebu,Alegria,62.4,4.7,7.5
Region VII,Cebu,Aloguinsan,49.4,4.9,9.9
Region VII,Cebu,Argao,43.6,2.4,5.4
Region VII,Cebu,Asturias,44.2,3.5,7.9
Region VII,Cebu,Badian,53.5,3.2,5.9
Region VII,Cebu,Balamban,37.6,3.5,9.2
Region VII,Cebu,Bantayan,55.1,3.0,5.5
Region VII,Cebu,Barili,40.7,2.6,6.5
Region VII,Cebu,Bogo,37.0,3.1,8.5
Region VII,Cebu,Boljoon,48.6,4.4,9.0
Region VII,Cebu,Borbon,43.7,3.4,7.8
Region VII,Cebu,Carcar,27.2,3.6,13.1
Region VII,Cebu,Carmen,31.4,3.2,10.2
Region VII,Cebu,Catmon,39.9,3.8,9.6
Region VII,Cebu,Cebu City,13.9,1.5,10.7
Region VII,Cebu,Compostela,27.8,4.0,14.5
Region VII,Cebu,Consolacion,17.4,3.1,18.0
Region VII,Cebu,Cordoba,25.9,3.8,14.7
Region VII,Cebu,Daanbantayan,42.9,3.2,7.4
Region VII,Cebu,Dalaguete,55.6,3.0,5.4
Region VII,Cebu,Danao City,31.6,2.8,9.0
Region VII,Cebu,Dumanjug,47.6,3.1,6.6
Region VII,Cebu,Ginatilan,58.0,4.0,6.9
Region VII,Cebu,Lapu-Lapu City,19.6,2.4,12.2
Region VII,Cebu,Liloan,18.0,3.1,17.3
Region VII,Cebu,Madridejos,50.6,4.1,8.0
Region VII,Cebu,Malabuyoc,50.7,4.3,8.4
Region VII,Cebu,Mandaue City,14.1,2.0,14.4
Region VII,Cebu,Medellin,35.8,3.2,9.0
Region VII,Cebu,Minglanilla,20.4,2.7,13.4
Region VII,Cebu,Moalboal,48.9,3.4,6.9
Region VII,Cebu,Naga,27.1,2.4,8.7
Region VII,Cebu,Oslob,50.9,3.4,6.8
Region VII,Cebu,Pilar,48.9,4.4,9.0
Region VII,Cebu,Pinamungahan,46.4,3.3,7.1
Region VII,Cebu,Poro,45.1,4.1,9.1
Region VII,Cebu,Ronda,46.5,3.9,8.4
Region VII,Cebu,Samboan,53.1,4.0,7.5
Region VII,Cebu,San Fernando,26.2,3.5,13.2
Region VII,Cebu,San Francisco,59.5,4.0,6.8
Region VII,Cebu,San Remigio,45.7,3.2,7.0
Region VII,Cebu,Santa Fe,56.2,5.4,9.6
Region VII,Cebu,Santander,41.9,4.2,10.1
Region VII,Cebu,Sibonga,41.8,3.2,7.7
Region VII,Cebu,Sogod,44.7,3.8,8.5
Region VII,Cebu,Tabogon,47.0,3.3,7.1
Region VII,Cebu,Tabuelan,53.8,4.8,9.0
Region VII,Cebu,Talisay City,18.0,2.6,14.3
Region VII,Cebu,Toledo City,31.5,2.3,7.1
Region VII,Cebu,Tuburan,45.9,2.6,5.7
Region VII,Cebu,Tudela,42.7,6.1,14.2
Region VII,Negros Oriental,Amlan,24.1,4.9,20.3
Region VII,Negros Oriental,Ayungon,51.6,3.7,7.2
Region VII,Negros Oriental,Bacong,20.8,2.5,11.9
Region VII,Negros Oriental,Bais City,37.2,3.0,8.1
Region VII,Negros Oriental,Basay,45.8,5.8,12.6
Region VII,Negros Oriental,Bayawan City,42.6,3.3,7.7
Region VII,Negros Oriental,Bindoy,59.9,3.7,6.2
Region VII,Negros Oriental,Canlaon City,35.4,4.4,12.3
Region VII,Negros Oriental,Dauin,32.4,3.4,10.6
Region VII,Negros Oriental,Dumaguete City,7.4,1.4,18.6
Region VII,Negros Oriental,Guihulngan,45.0,3.2,7.1
Region VII,Negros Oriental,Jimalalud,50.2,3.7,7.3
Region VII,Negros Oriental,La Libertad,50.2,3.5,6.9
Region VII,Negros Oriental,Mabinay,48.8,3.4,7.0
Region VII,Negros Oriental,Manjuyod,42.5,3.4,8.1
Region VII,Negros Oriental,Pamplona,35.5,3.0,8.5
Region VII,Negros Oriental,San Jose,28.7,4.4,15.3
Region VII,Negros Oriental,Santa Catalina,39.5,3.6,9.1
Region VII,Negros Oriental,Siaton,48.5,3.6,7.5
Region VII,Negros Oriental,Sibulan,17.4,2.5,14.6
Region VII,Negros Oriental,Tanjay City,27.1,3.1,11.4
Region VII,Negros Oriental,Tayasan,48.5,3.5,7.2
Region VII,Negros Oriental,Valencia,27.3,2.5,9.2
Region VII,Negros Oriental,Vallehermoso,47.2,5.1,10.7
Region VII,Negros Oriental,Zamboanguita,39.1,5.0,12.7
Region VII,Siquijor,Enrique Villanueva,28.2,4.0,14.0
Region VII,Siquijor,Larena,21.0,2.6,12.3
Region VII,Siquijor,Lazi,39.5,3.5,8.8
Region VII,Siquijor,Maria,39.1,3.3,8.3
Region VII,Siquijor,San Juan,42.9,4.0,9.3
Region VII,Siquijor,Siquijor,27.0,2.4,8.7
Region VIII,Eastern Samar,Arteche,55.8,4.5,8.1
Region VIII,Eastern Samar,Balangiga,44.2,4.8,10.9
Region VIII,Eastern Samar,Balangkayan,48.6,5.1,10.6
Region VIII,Eastern Samar,Borongan,37.6,2.9,7.7
Region VIII,Eastern Samar,Can-avid,50.0,3.8,7.5
Region VIII,Eastern Samar,Dolores,50.2,3.8,7.5
Region VIII,Eastern Samar,General MacArthur,48.8,4.2,8.6
Region VIII,Eastern Samar,Giporlos,44.9,4.2,9.3
Region VIII,Eastern Samar,Guiuan,42.0,3.7,8.9
Region VIII,Eastern Samar,Hernani,48.7,4.8,9.9
Region VIII,Eastern Samar,Jipapad,60.6,5.2,8.6
Region VIII,Eastern Samar,Lawaan,45.7,5.0,10.9
Region VIII,Eastern Samar,Llorente,47.2,3.5,7.4
Region VIII,Eastern Samar,Maslog,60.2,5.8,9.6
Region VIII,Eastern Samar,Maydolong,49.1,4.2,8.5
Region VIII,Eastern Samar,Mercedes,39.6,4.1,10.3
Region VIII,Eastern Samar,Oras,51.1,4.0,7.9
Region VIII,Eastern Samar,Quinapondon,51.9,4.2,8.2
Region VIII,Eastern Samar,Salcedo,45.8,3.9,8.5
Region VIII,Eastern Samar,San Julian,45.2,4.4,9.8
Region VIII,Eastern Samar,Saan Policarpo,46.4,4.6,10.0
Region VIII,Eastern Samar,Sulat,42.0,4.7,11.1
Region VIII,Eastern Samar,Taft,42.2,3.9,9.2
Region VIII,Leyte,Abuyog,35.4,2.0,5.5
Region VIII,Leyte,Alangalang,34.9,2.5,7.1
Region VIII,Leyte,Albuera,33.6,3.6,10.7
Region VIII,Leyte,Babatngon,38.6,3.1,8.0
Region VIII,Leyte,Barugo,36.6,2.8,7.6
Region VIII,Leyte,Bato,36.4,2.7,7.5
Region VIII,Leyte,Baybay,31.0,1.7,5.4
Region VIII,Leyte,Burauen,33.3,1.9,5.6
Region VIII,Leyte,Calubian,36.2,2.4,6.7
Region VIII,Leyte,Capoocan,39.8,3.6,9.0
Region VIII,Leyte,Carigara,32.1,2.2,6.9
Region VIII,Leyte,Dagami,35.0,2.0,5.8
Region VIII,Leyte,Dulag,33.6,2.3,6.9
Region VIII,Leyte,Hilongos,30.6,2.1,6.9
Region VIII,Leyte,Hindang,32.1,3.1,9.8
Region VIII,Leyte,Inopacan,30.7,3.3,10.8
Region VIII,Leyte,Isabel,23.7,2.4,10.1
Region VIII,Leyte,Jaro,37.4,2.6,6.9
Region VIII,Leyte,Javier (Bugho),36.7,2.7,7.4
Region VIII,Leyte,Julita,33.3,2.9,8.6
Region VIII,Leyte,Kananga,40.6,3.8,9.4
Region VIII,Leyte,Lapaz,35.8,2.7,7.5
Region VIII,Leyte,Leyte,46.7,3.5,7.4
Region VIII,Leyte,MacArthur,36.6,3.0,8.1
Region VIII,Leyte,Mahaplag,41.2,3.6,8.6
Region VIII,Leyte,Matag-ob,35.7,3.4,9.4
Region VIII,Leyte,Matalom,34.7,2.7,7.6
Region VIII,Leyte,Mayorga,36.4,3.1,8.4
Region VIII,Leyte,Merida,32.0,3.2,10.0
Region VIII,Leyte,Ormoc City,28.3,1.8,6.5
Region VIII,Leyte,Palo,24.6,1.8,7.4
Region VIII,Leyte,Palompon,30.3,2.0,6.5
Region VIII,Leyte,Pastrana,35.9,2.9,8.0
Region VIII,Leyte,San Isidro,41.2,3.6,8.6
Region VIII,Leyte,San Miguel,35.9,3.2,9.0
Region VIII,Leyte,Santa Fe,31.4,3.9,12.3
Region VIII,Leyte,Tabango,40.8,4.4,10.7
Region VIII,Leyte,Tabontabon,36.8,3.4,9.2
Region VIII,Leyte,Tacloban City,20.5,1.5,7.1
Region VIII,Leyte,Tanauan,27.0,2.3,8.5
Region VIII,Leyte,Tolosa,24.4,2.8,11.4
Region VIII,Leyte,Tunga,23.1,3.5,15.3
Region VIII,Leyte,Villaba,35.4,2.4,6.9
Region VIII,Northern Samar,Allen,31.5,2.6,8.3
Region VIII,Northern Samar,Biri,50.7,4.6,9.1
Region VIII,Northern Samar,Bobon,45.9,3.3,7.1
Region VIII,Northern Samar,Capul,41.6,4.6,11.1
Region VIII,Northern Samar,Catarman,43.4,2.5,5.8
Region VIII,Northern Samar,Catubig,52.8,3.0,5.6
Region VIII,Northern Samar,Gamay,48.7,3.4,6.9
Region VIII,Northern Samar,Laoang,47.6,2.8,5.8
Region VIII,Northern Samar,Lapinig,51.9,4.5,8.7
Region VIII,Northern Samar,Las Navas,57.1,3.2,5.6
Region VIII,Northern Samar,Lavezares,45.6,3.6,7.8
Region VIII,Northern Samar,Mapanas,58.4,5.1,8.8
Region VIII,Northern Samar,Mondragon,52.2,3.6,6.8
Region VIII,Northern Samar,Palapag,52.1,2.8,5.3
Region VIII,Northern Samar,Pambujan,51.6,3.6,7.0
Region VIII,Northern Samar,Rosario,41.6,3.9,9.4
Region VIII,Northern Samar,San Antonio,32.5,4.1,12.6
Region VIII,Northern Samar,San Isidro,43.6,3.9,8.9
Region VIII,Northern Samar,San Jose,46.1,3.4,7.3
Region VIII,Northern Samar,San Roque,52.7,4.0,7.6
Region VIII,Northern Samar,San Vicente,43.5,4.7,10.8
Region VIII,Northern Samar,Silvino Lobos,64.8,3.8,5.9
Region VIII,Northern Samar,Victoria,37.7,3.7,9.8
Region VIII,Northern Samar,Lope De Vega,58.2,4.7,8.0
Region VIII,Samar (Western),Almagro,39.5,3.4,8.7
Region VIII,Samar (Western),Basey,39.1,2.6,6.7
Region VIII,Samar (Western),Calbayog City,38.7,1.9,4.9
Region VIII,Samar (Western),Calbiga,39.0,3.0,7.6
Region VIII,Samar (Western),Catbalogan,33.6,2.6,7.7
Region VIII,Samar (Western),Daram,51.2,3.1,6.0
Region VIII,Samar (Western),Gandara,43.8,2.2,5.0
Region VIII,Samar (Western),Hinabangan,43.8,3.5,8.1
Region VIII,Samar (Western),Jiabong,41.7,3.7,8.8
Region VIII,Samar (Western),Marabut,44.4,3.2,7.3
Region VIII,Samar (Western),Matuguinao,57.5,4.7,8.1
Region VIII,Samar (Western),Motiong,45.9,3.9,8.6
Region VIII,Samar (Western),Pinabacdao,45.0,3.2,7.0
Region VIII,Samar (Western),San Jose de Buan,57.8,5.2,8.9
Region VIII,Samar (Western),San Sebastian,43.0,3.7,8.6
Region VIII,Samar (Western),Santa Margarita,40.7,3.5,8.6
Region VIII,Samar (Western),Santa Rita,41.3,3.2,7.8
Region VIII,Samar (Western),Santo Nino,45.3,4.7,10.4
Region VIII,Samar (Western),Talalora,47.0,4.9,10.3
Region VIII,Samar (Western),Tarangnan,46.3,3.2,6.9
Region VIII,Samar (Western),Villareal,42.1,2.8,6.6
Region VIII,Samar (Western),Paranas (Wright),42.5,2.9,6.9
Region VIII,Samar (Western),Zumurraga,49.9,3.8,7.7
Region VIII,Samar (Western),Tagapul-an,42.5,4.2,9.9
Region VIII,Samar (Western),San Jorge,42.3,2.8,6.7
Region VIII,Samar (Western),Pagsanghan,40.6,3.5,8.7
Region VIII,Southern Leyte,Anahawan,29.7,3.7,12.5
Region VIII,Southern Leyte,Bontoc,43.2,2.7,6.3
Region VIII,Southern Leyte,Hinunangan,37.6,2.7,7.1
Region VIII,Southern Leyte,Hinundayan,31.7,3.3,10.3
Region VIII,Southern Leyte,Libagon,42.1,3.7,8.9
Region VIII,Southern Leyte,Liloan,39.3,3.2,8.1
Region VIII,Southern Leyte,Maasin City,31.4,2.0,6.3
Region VIII,Southern Leyte,Macrohon,33.6,2.6,7.8
Region VIII,Southern Leyte,Malitbog,40.6,2.9,7.2
Region VIII,Southern Leyte,Padre Burgos,33.9,3.7,10.9
Region VIII,Southern Leyte,Pintuyan,43.2,3.5,8.1
Region VIII,Southern Leyte,Saint Bernard,42.7,3.0,6.9
Region VIII,Southern Leyte,San Francisco,36.7,2.6,7.2
Region VIII,Southern Leyte,San Juan (Cabalian)),33.6,3.0,9.0
Region VIII,Southern Leyte,San Ricardo,42.5,3.4,8.0
Region VIII,Southern Leyte,Silago,38.1,4.2,11.0
Region VIII,Southern Leyte,Sogod,36.8,2.6,7.1
Region VIII,Southern Leyte,Tomas Oppus,39.7,2.8,7.0
Region VIII,Southern Leyte,Limasawa,37.3,4.9,13.1
Region VIII,Biliran,Almera,26.8,3.5,13.0
Region VIII,Biliran,Biliran,33.2,4.2,12.7
Region VIII,Biliran,Cabucgayab,35.2,4.1,11.5
Region VIII,Biliran,Caibiran,38.3,4.0,10.3
Region VIII,Biliran,Culaba,35.5,3.5,9.9
Region VIII,Biliran,Kawayan,33.5,3.5,10.4
Region VIII,Biliran,Maripipi,28.0,3.5,12.5
Region VIII,Biliran,Naval,27.8,2.4,8.6
Region IX,Zamboanga del Norte,Dapitan City,40.0,4.5,11.3
Region IX,Zamboanga del Norte,Dipolog City,26.8,5.2,19.5
Region IX,Zamboanga del Norte,Katipunan,57.1,4.4,7.7
Region IX,Zamboanga del Norte,La Libertad,45.0,7.5,16.7
Region IX,Zamboanga del Norte,Labason,48.9,6.0,12.2
Region IX,Zamboanga del Norte,Liloy,51.4,5.1,10.0
Region IX,Zamboanga del Norte,Manukan,68.2,5.4,7.9
Region IX,Zamboanga del Norte,Mutia,57.8,6.8,11.7
Region IX,Zamboanga del Norte,Piñan,55.5,5.4,9.7
Region IX,Zamboanga del Norte,Polanco,47.3,5.1,10.7
Region IX,Zamboanga del Norte,Pres. Manuel A. Roxas,66.3,4.7,7.1
Region IX,Zamboanga del Norte,Rizal,37.3,5.4,14.5
Region IX,Zamboanga del Norte,Salug,60.2,5.3,8.7
Region IX,Zamboanga del Norte,Sergio Osmeña Sr.,65.8,5.6,8.4
Region IX,Zamboanga del Norte,Siayan,79.9,4.5,5.7
Region IX,Zamboanga del Norte,Sibuco,68.2,5.2,7.7
Region IX,Zamboanga del Norte,Sibutad,54.1,5.9,10.9
Region IX,Zamboanga del Norte,Sindangan,56.8,4.5,7.9
Region IX,Zamboanga del Norte,Siocon,63.6,5.8,9.2
Region IX,Zamboanga del Norte,Sirawai,61.7,6.2,10.1
Region IX,Zamboanga del Norte,Tampilisan,45.0,5.7,12.7
Region IX,Zamboanga del Norte,Jose Dalman (Ponot),68.0,5.9,8.6
Region IX,Zamboanga del Norte,Gutalac,70.4,4.6,6.6
Region IX,Zamboanga del Norte,Baliguian,75.3,4.9,6.5
Region IX,Zamboanga del Norte,Godod,71.1,6.8,9.6
Region IX,Zamboanga del Norte,Bacungan (Leon T. Postigo),66.0,6.2,9.4
Region IX,Zamboanga del Norte,Kalawit,65.8,6.8,10.3
Region IX,Zamboanga del Sur,Aurora,31.5,4.0,12.7
Region IX,Zamboanga del Sur,Bayog,43.6,6.1,14.0
Region IX,Zamboanga del Sur,Dimataling,46.8,6.8,14.5
Region IX,Zamboanga del Sur,Dinas,43.1,5.0,11.6
Region IX,Zamboanga del Sur,Dumalinao,38.8,5.2,13.3
Region IX,Zamboanga del Sur,Dumingag,42.8,4.6,10.7
Region IX,Zamboanga del Sur,Kumalarang,45.9,6.4,14.0
Region IX,Zamboanga del Sur,Labangan,33.9,4.6,13.5
Region IX,Zamboanga del Sur,Lapuyan,53.0,5.7,10.7
Region IX,Zamboanga del Sur,Mahayag,35.9,4.9,13.5
Region IX,Zamboanga del Sur,Margosatubig,39.0,6.8,17.4
Region IX,Zamboanga del Sur,Midsalip,52.7,6.4,12.2
Region IX,Zamboanga del Sur,Molave,26.5,4.1,15.6
Region IX,Zamboanga del Sur,Pagadian City,21.0,2.7,12.9
Region IX,Zamboanga del Sur,Ramon Magsaysay,36.6,5.2,14.1
Region IX,Zamboanga del Sur,San Miguel,41.6,6.4,15.4
Region IX,Zamboanga del Sur,San Pablo,47.0,5.8,12.4
Region IX,Zamboanga del Sur,Tabina,47.6,7.8,16.4
Region IX,Zamboanga del Sur,Tambulig,38.0,5.3,14.0
Region IX,Zamboanga del Sur,Tukuran,36.5,5.2,14.3
Region IX,Zamboanga del Sur,Zamboanga City,19.9,2.0,10.2
Region IX,Zamboanga del Sur,Lakewood,48.4,7.8,16.1
Region IX,Zamboanga del Sur,Josefina,40.9,7.4,18.1
Region IX,Zamboanga del Sur,Pitogo,49.8,7.9,15.8
Region IX,Zamboanga del Sur,Sominot,54.5,7.1,13.1
Region IX,Zamboanga del Sur,Vincenzo A. Sagun,46.5,6.3,13.4
Region IX,Zamboanga del Sur,Guipos,36.0,5.7,16.0
Region IX,Zamboanga del Sur,Tigbao,44.5,6.3,14.2
Region IX,Zamboanga Sibugay,Alicia,54.0,6.3,11.6
Region IX,Zamboanga Sibugay,Buug,40.2,5.4,13.5
Region IX,Zamboanga Sibugay,Diplahan,43.9,5.8,13.2
Region IX,Zamboanga Sibugay,Imelda,42.4,5.4,12.8
Region IX,Zamboanga Sibugay,Ipil,32.2,3.6,11.0
Region IX,Zamboanga Sibugay,Kabasalan,36.7,4.0,10.8
Region IX,Zamboanga Sibugay,Mabuhay,68.9,5.7,8.2
Region IX,Zamboanga Sibugay,Malangas,40.5,5.0,12.3
Region IX,Zamboanga Sibugay,Naga,36.4,4.1,11.3
Region IX,Zamboanga Sibugay,Olutanga,61.7,6.8,11.0
Region IX,Zamboanga Sibugay,Payao,63.3,7.0,11.1
Region IX,Zamboanga Sibugay,Roseller Lim,51.2,4.9,9.6
Region IX,Zamboanga Sibugay,Siay,48.3,4.7,9.7
Region IX,Zamboanga Sibugay,Talusan,66.5,7.8,11.8
Region IX,Zamboanga Sibugay,Titay,45.1,4.5,10.0
Region IX,Zamboanga Sibugay,Tungawan,59.5,5.8,9.8
Region IX,Isabela City,Isabela City,23.0,2.9,12.6
Region X,Bukidnon,Baungon,49.1,4.7,9.7
Region X,Bukidnon,Damulog,52.2,4.9,9.4
Region X,Bukidnon,Dangcagan,39.9,4.8,11.9
Region X,Bukidnon,Don Carlos,42.0,3.3,7.9
Region X,Bukidnon,Impasug-ong,46.1,4.7,10.1
Region X,Bukidnon,Kadingilan,50.7,5.3,10.4
Region X,Bukidnon,Kalilangan,51.3,5.1,9.9
Region X,Bukidnon,Kibawe,46.8,3.2,6.9
Region X,Bukidnon,Kitaotao,54.8,4.6,8.3
Region X,Bukidnon,Lantapan,40.8,4.6,11.3
Region X,Bukidnon,Libona,35.5,3.5,9.9
Region X,Bukidnon,Malaybalay City,34.6,2.7,7.8
Region X,Bukidnon,Malitbog,61.4,5.6,9.1
Region X,Bukidnon,Manolo Fortich,33.5,3.3,9.9
Region X,Bukidnon,Maramag,33.5,3.7,11.0
Region X,Bukidnon,Pangantucan,53.2,3.8,7.1
Region X,Bukidnon,Quezon,52.0,4.0,7.7
Region X,Bukidnon,San Fernando,52.1,5.1,9.8
Region X,Bukidnon,Sumilao,40.2,7.0,17.3
Region X,Bukidnon,Talakag,50.3,3.9,7.8
Region X,Bukidnon,Valencia City,35.8,3.1,8.5
Region X,Bukidnon,Cabanglasan,45.2,5.2,11.4
Region X,Camiguin,Catarman,58.4,4.3,7.4
Region X,Camiguin,Guinsiliban,45.7,5.4,11.7
Region X,Camiguin,Mahinog,45.9,4.0,8.7
Region X,Camiguin,Mambajao,36.2,4.1,11.4
Region X,Camiguin,Sagay,42.1,5.4,12.8
Region X,Lanao del Norte,Bacolod,40.2,4.7,11.7
Region X,Lanao del Norte,Baloi,48.3,3.9,8.0
Region X,Lanao del Norte,Baroy,47.0,4.0,8.5
Region X,Lanao del Norte,Iligan City,24.4,1.9,7.6
Region X,Lanao del Norte,Kapatagan,47.6,3.3,7.0
Region X,Lanao del Norte,Sultan Naga Dimaporo,59.9,3.8,6.4
Region X,Lanao del Norte,Kauswagan,49.5,4.5,9.1
Region X,Lanao del Norte,Kolambugan,41.7,3.3,8.0
Region X,Lanao del Norte,Lala,37.0,3.1,8.5
Region X,Lanao del Norte,Linamon,31.0,5.1,16.5
Region X,Lanao del Norte,Magsaysay,59.2,3.8,6.4
Region X,Lanao del Norte,Maigo,43.7,4.8,11.0
Region X,Lanao del Norte,Matungao,59.3,5.6,9.5
Region X,Lanao del Norte,Munai,67.5,3.6,5.4
Region X,Lanao del Norte,Nunungan,67.9,4.1,6.1
Region X,Lanao del Norte,Pantao Ragat,59.7,4.2,7.1
Region X,Lanao del Norte,Poona Piagapo,66.8,3.9,5.8
Region X,Lanao del Norte,Salvador,56.3,4.6,8.2
Region X,Lanao del Norte,Sapad,62.0,4.5,7.3
Region X,Lanao del Norte,Tagoloan,69.4,5.8,8.3
Region X,Lanao del Norte,Tangcal,67.4,4.3,6.4
Region X,Lanao del Norte,Tubad,48.3,3.1,6.4
Region X,Lanao del Norte,Pantar,57.5,3.9,6.7
Region X,Misamis Occidental,Aloran,42.7,2.9,6.9
Region X,Misamis Occidental,Baliangao,37.7,4.0,10.6
Region X,Misamis Occidental,Bonifacio,44.9,4.0,9.0
Region X,Misamis Occidental,Calamba,41.4,3.3,7.9
Region X,Misamis Occidental,Clarin,38.8,3.0,7.6
Region X,Misamis Occidental,Concepcion,62.3,4.2,6.8
Region X,Misamis Occidental,Jimenez,40.9,3.5,8.6
Region X,Misamis Occidental,Lopez Jaena,49.3,3.5,7.2
Region X,Misamis Occidental,Oroquieta City,30.7,3.1,10.2
Region X,Misamis Occidental,Ozamis City,29.8,2.4,8.1
Region X,Misamis Occidental,Panaon,40.2,4.3,10.7
Region X,Misamis Occidental,Plaridel,35.2,3.0,8.5
Region X,Misamis Occidental,Sapang Dalaga,43.9,3.3,7.5
Region X,Misamis Occidental,Sinacaban,38.9,3.4,8.8
Region X,Misamis Occidental,Tangub City,43.1,2.5,5.8
Region X,Misamis Occidental,Tudela,38.0,3.2,8.4
Region X,Misamis Occidental,Don Victoriano Chiongbian,65.7,5.2,7.8
Region X,Misamis Oriental,Alubijid,53.7,4.0,7.4
Region X,Misamis Oriental,Balingasag,51.2,2.7,5.2
Region X,Misamis Oriental,Balingoan,46.4,5.5,11.9
Region X,Misamis Oriental,Binuangan,52.7,6.3,12.0
Region X,Misamis Oriental,Cagayan De Oro City,22.8,2.2,9.8
Region X,Misamis Oriental,Claveria,57.1,3.4,6.0
Region X,Misamis Oriental,El Salvador,38.8,3.8,9.7
Region X,Misamis Oriental,Gingoog City,48.7,2.4,4.8
Region X,Misamis Oriental,Gitaguim,50.3,4.9,9.8
Region X,Misamis Oriental,Initao,48.9,4.4,9.0
Region X,Misamis Oriental,Jasaan,42.1,4.2,9.9
Region X,Misamis Oriental,Kinoguitan,55.7,4.0,7.1
Region X,Misamis Oriental,Lagonglong,49.9,4.6,9.2
Region X,Misamis Oriental,Laguindingan,52.2,5.2,9.9
Region X,Misamis Oriental,Libertad,55.5,5.5,10.0
Region X,Misamis Oriental,Lugait,40.6,5.8,14.3
Region X,Misamis Oriental,Magsaysay,60.3,3.9,6.4
Region X,Misamis Oriental,Manticao,48.4,4.0,8.3
Region X,Misamis Oriental,Medina,41.0,3.3,8.1
Region X,Misamis Oriental,Naawan,45.7,5.1,11.1
Region X,Misamis Oriental,Opol,31.1,3.2,10.2
Region X,Misamis Oriental,Salay,47.1,4.7,9.9
Region X,Misamis Oriental,Sugbongcogon,45.4,5.8,12.8
Region X,Misamis Oriental,Tagoloan,35.9,4.7,13.1
Region X,Misamis Oriental,Talisayan,48.2,3.8,8.0
Region X,Misamis Oriental,Villanueva,40.5,3.9,9.7
Region XI,Davao del Norte,Asuncion (Saug),41.0,4.2,10.2
Region XI,Davao del Norte,Carmen,28.0,3.5,12.5
Region XI,Davao del Norte,Kapalong,21.5,4.0,18.5
Region XI,Davao del Norte,New Corella,38.2,4.4,11.6
Region XI,Davao del Norte,Panabo City,14.8,2.2,14.8
Region XI,Davao del Norte,Island Garden City of Samal,32.8,2.8,8.6
Region XI,Davao del Norte,Santo Tomas,23.5,4.2,17.9
Region XI,Davao del Norte,Tagum City,15.0,2.8,18.7
Region XI,Davao del Norte,Talaingod,62.6,9.5,15.2
Region XI,Davao del Norte,Braulio E. Dujali,40.8,7.2,17.5
Region XI,Davao del Norte,San Isidro,53.6,5.5,10.3
Region XI,Davao del Sur,Bansalan,21.3,3.1,14.6
Region XI,Davao del Sur,Davao City,13.2,1.3,9.4
Region XI,Davao del Sur,Digos City,18.8,2.6,13.9
Region XI,Davao del Sur,Hagonoy,22.9,3.2,14.0
Region XI,Davao del Sur,Jose Abad Santos (Trinidad),72.3,4.1,5.6
Region XI,Davao del Sur,Kiblawan,57.4,3.8,6.5
Region XI,Davao del Sur,Magsaysay,40.0,4.6,11.5
Region XI,Davao del Sur,Malalag,41.2,4.0,9.6
Region XI,Davao del Sur,Malita,63.8,3.5,5.5
Region XI,Davao del Sur,Matanao,40.7,3.2,8.0
Region XI,Davao del Sur,Padada,14.6,2.5,17.5
Region XI,Davao del Sur,Santa Cruz,27.3,3.6,13.0
Region XI,Davao del Sur,Santa Maria,48.5,4.4,9.0
Region XI,Davao del Sur,Sulop,36.9,4.0,10.9
Region XI,Davao del Sur,Sarangani,72.1,5.0,6.9
Region XI,Davao del Sur,Don Marcelino,66.5,5.4,8.1
Region XI,Davao Oriental,Baganga,44.0,4.6,10.5
Region XI,Davao Oriental,Banaybanay,32.5,4.4,13.6
Region XI,Davao Oriental,Boston,36.6,5.5,15.0
Region XI,Davao Oriental,Caraga,58.0,4.1,7.0
Region XI,Davao Oriental,Cateel,53.5,4.8,8.9
Region XI,Davao Oriental,Governor Generoso,55.7,4.9,8.9
Region XI,Davao Oriental,Lupon,42.9,4.6,10.6
Region XI,Davao Oriental,Manay,58.7,4.9,8.4
Region XI,Davao Oriental,Mati  (Capital),33.9,3.8,11.1
Region XI,Davao Oriental,San Isidro,47.4,5.2,11.0
Region XI,Davao Oriental,Tarragona,62.3,5.4,8.6
Region XI,Compostela Valley,Compostela,26.5,4.7,17.7
Region XI,Compostela Valley,Laak (San Vicente),54.7,4.3,7.8
Region XI,Compostela Valley,Mabini (Doña Alicia),29.8,4.1,13.9
Region XI,Compostela Valley,Maco,30.6,2.6,8.6
Region XI,Compostela Valley,Maragusan (San Mariano),35.6,4.7,13.2
Region XI,Compostela Valley,Mawab,32.7,4.5,13.8
Region XI,Compostela Valley,Monkayo,32.9,4.2,12.7
Region XI,Compostela Valley,Montevista,41.3,4.6,11.1
Region XI,Compostela Valley,Nabunturan,28.3,3.9,13.7
Region XI,Compostela Valley,New Bataan,42.0,5.5,13.0
Region XI,Compostela Valley,Pantukan,28.3,4.8,17.0
Region XII,North Cotabato,Alamada,44.6,4.4,9.9
